# Analysis title: MHCI_chipseq_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: hg38
# Peak bed file name: MHCI_chipseq_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
Chemical carcinogenesis(hsa05204)	7753, 0, 82, 0	0.0	1.0	1.0	82
MicroRNAs in cancer(hsa05206)	7753, 91, 299, 3	0.855	0.840490008023	1.0	299
Pathways in cancer(hsa05200)	7753, 26, 530, 3	1.688	0.564425523158	1.0	530
Viral carcinogenesis(hsa05203)	7753, 74, 201, 11	5.734	1.5676946825e-05	0.000412826266391	201
Transcriptional misregulation in cancer(hsa05202)	7753, 61, 185, 7	4.809	0.00274518456619	0.0309813686755	185
T cell receptor signaling pathway(hsa04660)	7753, 85, 101, 2	1.806	0.423443079545	1.0	101
Amyotrophic lateral sclerosis (ALS)(hsa05014)	7753, 9, 51, 1	16.891	0.104103648459	0.701158813833	51
B cell receptor signaling pathway(hsa04662)	7753, 0, 70, 0	0.0	1.0	1.0	70
Arginine biosynthesis(hsa00220)	7753, 0, 21, 0	0.0	1.0	1.0	21
Fc epsilon RI signaling pathway(hsa04664)	7753, 0, 67, 0	0.0	1.0	1.0	67
Central carbon metabolism in cancer(hsa05230)	7753, 0, 65, 0	0.0	1.0	1.0	65
Vibrio cholerae infection(hsa05110)	7753, 47, 50, 1	3.299	0.291259761422	0.947945164836	50
TNF signaling pathway(hsa04668)	7753, 79, 110, 2	1.784	0.431763407914	1.0	110
Pyrimidine metabolism(hsa00240)	7753, 0, 57, 0	0.0	1.0	1.0	57
Alcoholism(hsa05034)	7753, 74, 180, 13	7.567	7.08974934225e-08	4.4807215843e-06	180
Huntington disease(hsa05016)	7753, 20, 187, 1	2.073	0.580408552187	1.0	187
Non-alcoholic fatty liver disease (NAFLD)(hsa04932)	7753, 0, 145, 0	0.0	1.0	1.0	145
Biosynthesis of unsaturated fatty acids(hsa01040)	7753, 0, 27, 0	0.0	1.0	1.0	27
Steroid biosynthesis(hsa00100)	7753, 0, 19, 0	0.0	1.0	1.0	19
Homologous recombination(hsa03440)	7753, 0, 41, 0	0.0	1.0	1.0	41
Pyruvate metabolism(hsa00620)	7753, 0, 39, 0	0.0	1.0	1.0	39
ECM-receptor interaction(hsa04512)	7753, 0, 82, 0	0.0	1.0	1.0	82
Fatty acid degradation(hsa00071)	7753, 80, 44, 1	2.203	0.369269739141	1.0	44
Hepatocellular carcinoma(hsa05225)	7753, 0, 168, 0	0.0	1.0	1.0	168
Tuberculosis(hsa05152)	7753, 35, 177, 4	5.006	0.0260956927131	0.235606825638	177
Melanogenesis(hsa04916)	7753, 47, 101, 1	1.633	0.531307281188	1.0	101
Carbon metabolism(hsa01200)	7753, 0, 116, 0	0.0	1.0	1.0	116
Breast cancer(hsa05224)	7753, 16, 147, 1	3.296	0.439153243286	1.0	147
Choline metabolism in cancer(hsa05231)	7753, 0, 99, 0	0.0	1.0	1.0	99
Adherens junction(hsa04520)	7753, 0, 72, 0	0.0	1.0	1.0	72
Acute myeloid leukemia(hsa05221)	7753, 0, 66, 0	0.0	1.0	1.0	66
Non-small cell lung cancer(hsa05223)	7753, 26, 66, 1	4.518	0.293414503415	0.947945164836	66
beta-Alanine metabolism(hsa00410)	7753, 0, 31, 0	0.0	1.0	1.0	31
Cysteine and methionine metabolism(hsa00270)	7753, 0, 47, 0	0.0	1.0	1.0	47
Cardiac muscle contraction(hsa04260)	7753, 0, 74, 0	0.0	1.0	1.0	74
Adrenergic signaling in cardiomyocytes(hsa04261)	7753, 47, 145, 1	1.138	0.683058263467	1.0	145
IL-17 signaling pathway(hsa04657)	7753, 58, 93, 1	1.437	0.540966275265	1.0	93
ErbB signaling pathway(hsa04012)	7753, 0, 85, 0	0.0	1.0	1.0	85
