# Analysis title: koTRAF3_Veh_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: koTRAF3_Veh_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 10000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
Colorectal cancer(mmu05210)	8447, 98, 88, 3	2.938	0.183699739232	0.558784039656	88
Fc epsilon RI signaling pathway(mmu04664)	8447, 119, 66, 2	2.151	0.348464970698	0.725607989211	66
Basal cell carcinoma(mmu05217)	8447, 103, 63, 4	5.207	0.0179882753906	0.127553225497	63
NF-kappa B signaling pathway(mmu04064)	8447, 139, 98, 8	4.961	0.000935774493409	0.0108133941461	98
Thyroid cancer(mmu05216)	8447, 128, 37, 1	1.784	0.433416735838	0.819551645947	37
Fc gamma R-mediated phagocytosis(mmu04666)	8447, 0, 85, 0	0.0	1.0	1.0	85
Prostate cancer(mmu05215)	8447, 142, 97, 4	2.453	0.192088061886	0.576264185657	97
Arrhythmogenic right ventricular cardiomyopathy (ARVC)(mmu05412)	8447, 0, 72, 0	0.0	1.0	1.0	72
Thyroid hormone synthesis(mmu04918)	8447, 0, 73, 0	0.0	1.0	1.0	73
RNA transport(mmu03013)	8447, 52, 166, 1	0.979	0.779193264002	1.0	166
Ribosome(mmu03010)	8447, 138, 139, 9	3.963	0.00210223294043	0.0204967711692	139
Steroid biosynthesis(mmu00100)	8447, 0, 19, 0	0.0	1.0	1.0	19
mRNA surveillance pathway(mmu03015)	8447, 113, 91, 2	1.643	0.478061816635	0.877384039942	91
Pantothenate and CoA biosynthesis(mmu00770)	8447, 0, 18, 0	0.0	1.0	1.0	18
Prolactin signaling pathway(mmu04917)	8447, 43, 72, 2	5.457	0.121475255266	0.451193805273	72
Melanogenesis(mmu04916)	8447, 57, 100, 3	4.446	0.0862571187641	0.359499415309	100
Estrogen signaling pathway(mmu04915)	8447, 38, 134, 2	3.318	0.274995870247	0.669635893248	134
Progesterone-mediated oocyte maturation(mmu04914)	8447, 100, 90, 2	1.877	0.42691437658	0.817161260692	90
Ovarian steroidogenesis(mmu04913)	8447, 20, 57, 1	7.41	0.214555698224	0.614141081154	57
GnRH signaling pathway(mmu04912)	8447, 14, 90, 1	6.704	0.269006220696	0.665700472986	90
One carbon pool by folate(mmu00670)	8447, 0, 19, 0	0.0	1.0	1.0	19
SNARE interactions in vesicular transport(mmu04130)	8447, 73, 32, 1	3.616	0.264913462962	0.665700472986	32
Amoebiasis(mmu05146)	8447, 92, 104, 4	3.531	0.0818097049317	0.355898298889	104
Cysteine and methionine metabolism(mmu00270)	8447, 42, 49, 1	4.104	0.308836261876	0.693215206512	49
B cell receptor signaling pathway(mmu04662)	8447, 17, 70, 1	7.098	0.244101622165	0.647531658595	70
African trypanosomiasis(mmu05143)	8447, 68, 38, 1	3.269	0.298157698185	0.678986345951	38
Chagas disease (American trypanosomiasis)(mmu05142)	8447, 116, 103, 4	2.828	0.136313393484	0.488848031805	103
Thyroid hormone signaling pathway(mmu04919)	8447, 14, 115, 1	5.247	0.335938827177	0.720673348199	115
Leishmaniasis(mmu05140)	8447, 92, 66, 3	4.173	0.0856770759481	0.359499415309	66
Phenylalanine metabolism(mmu00360)	8447, 0, 22, 0	0.0	1.0	1.0	22
AMPK signaling pathway(mmu04152)	8447, 100, 123, 1	0.687	0.801496603371	1.0	123
PI3K-Akt signaling pathway(mmu04151)	8447, 111, 353, 8	1.725	0.287829520029	0.67017022574	353
mTOR signaling pathway(mmu04150)	8447, 103, 154, 5	2.663	0.125844780863	0.461924372109	154
Protein processing in endoplasmic reticulum(mmu04141)	8447, 48, 162, 4	4.345	0.0438042864968	0.227782289783	162
Osteoclast differentiation(mmu04380)	8447, 78, 127, 6	5.116	0.00466342134846	0.0404163183533	127
Tyrosine metabolism(mmu00350)	8447, 0, 39, 0	0.0	1.0	1.0	39
Thermogenesis(mmu04714)	8447, 140, 215, 3	0.842	0.848500162482	1.0	215
Circadian rhythm(mmu04710)	8447, 0, 30, 0	0.0	1.0	1.0	30
Circadian entrainment(mmu04713)	8447, 0, 99, 0	0.0	1.0	1.0	99
Mineral absorption(mmu04978)	8447, 28, 44, 2	13.713	0.0232049097088	0.154041102748	44
