# Analysis title: koTRAF3_IFNG_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: koTRAF3_IFNG_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 10000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
Valine, leucine and isoleucine degradation(mmu00280)	8447, 63, 53, 1	2.53	0.441662743271	0.872144151269	53
Colorectal cancer(mmu05210)	8447, 9, 88, 1	10.665	0.212867479423	0.667800982537	88
Fc epsilon RI signaling pathway(mmu04664)	8447, 150, 66, 2	1.706	0.456405868274	0.895588873594	66
Basal cell carcinoma(mmu05217)	8447, 77, 63, 1	1.741	0.541301701104	0.978424454192	63
NF-kappa B signaling pathway(mmu04064)	8447, 167, 98, 9	4.645	0.000629941606787	0.0085452948399	98
Thyroid cancer(mmu05216)	8447, 69, 37, 1	3.309	0.325587149571	0.753246061038	37
Fc gamma R-mediated phagocytosis(mmu04666)	8447, 61, 85, 1	1.629	0.598477545482	1.0	85
Prostate cancer(mmu05215)	8447, 31, 97, 1	2.809	0.487164247292	0.929190293952	97
Arrhythmogenic right ventricular cardiomyopathy (ARVC)(mmu05412)	8447, 0, 72, 0	0.0	1.0	1.0	72
Thyroid hormone synthesis(mmu04918)	8447, 0, 73, 0	0.0	1.0	1.0	73
RNA transport(mmu03013)	8447, 49, 166, 1	1.038	0.798934313183	1.0	166
Ribosome(mmu03010)	8447, 177, 139, 8	2.747	0.0323072134104	0.214464906044	139
Steroid biosynthesis(mmu00100)	8447, 157, 19, 1	2.832	0.300978977221	0.746840446958	19
mRNA surveillance pathway(mmu03015)	8447, 145, 91, 2	1.28	0.607172263061	1.0	91
Pantothenate and CoA biosynthesis(mmu00770)	8447, 0, 18, 0	0.0	1.0	1.0	18
Prolactin signaling pathway(mmu04917)	8447, 116, 72, 3	3.034	0.178425397368	0.632599136125	72
Melanogenesis(mmu04916)	8447, 22, 100, 1	3.84	0.412035715523	0.83902310341	100
Estrogen signaling pathway(mmu04915)	8447, 87, 134, 3	2.174	0.355615988522	0.792515631564	134
Progesterone-mediated oocyte maturation(mmu04914)	8447, 31, 90, 2	6.055	0.126147149521	0.531863657439	90
Ovarian steroidogenesis(mmu04913)	8447, 20, 57, 1	7.41	0.242871735722	0.699327823136	57
GnRH signaling pathway(mmu04912)	8447, 75, 90, 1	1.251	0.680947710328	1.0	90
One carbon pool by folate(mmu00670)	8447, 0, 19, 0	0.0	1.0	1.0	19
SNARE interactions in vesicular transport(mmu04130)	8447, 0, 32, 0	0.0	1.0	1.0	32
Amoebiasis(mmu05146)	8447, 80, 104, 4	4.061	0.058779648073	0.340160339148	104
Cysteine and methionine metabolism(mmu00270)	8447, 51, 49, 1	3.38	0.369822872019	0.808603482841	49
B cell receptor signaling pathway(mmu04662)	8447, 95, 70, 3	3.811	0.114631590132	0.495000996608	70
African trypanosomiasis(mmu05143)	8447, 167, 38, 2	2.662	0.261453304139	0.703219231821	38
Chagas disease (American trypanosomiasis)(mmu05142)	8447, 9, 103, 2	18.224	0.0184887285658	0.13415077471	103
Thyroid hormone signaling pathway(mmu04919)	8447, 87, 115, 3	2.533	0.268512700583	0.71603386822	115
Leishmaniasis(mmu05140)	8447, 149, 66, 5	4.295	0.0176026287492	0.130762384994	66
Phenylalanine metabolism(mmu00360)	8447, 0, 22, 0	0.0	1.0	1.0	22
AMPK signaling pathway(mmu04152)	8447, 149, 123, 2	0.922	0.768285407942	1.0	123
PI3K-Akt signaling pathway(mmu04151)	8447, 141, 353, 7	1.188	0.708168077419	1.0	353
mTOR signaling pathway(mmu04150)	8447, 116, 154, 3	1.419	0.59143551939	1.0	154
Protein processing in endoplasmic reticulum(mmu04141)	8447, 57, 162, 5	4.574	0.0192057964553	0.136186556683	162
Osteoclast differentiation(mmu04380)	8447, 16, 127, 2	8.314	0.0810221033399	0.43027531649	127
Tyrosine metabolism(mmu00350)	8447, 0, 39, 0	0.0	1.0	1.0	39
Thermogenesis(mmu04714)	8447, 170, 215, 3	0.693	0.920806295073	1.0	215
Circadian rhythm(mmu04710)	8447, 0, 30, 0	0.0	1.0	1.0	30
Circadian entrainment(mmu04713)	8447, 121, 99, 1	0.705	0.799231945532	1.0	99
Mineral absorption(mmu04978)	8447, 32, 44, 2	11.999	0.0350737083044	0.223326469204	44
